Postal code,label6
100,4
120,4
130,4
140,4
150,4
160,4
170,4
180,4
200,4
210,4
240,2
250,4
260,4
270,4
280,4
300,0
320,2
330,4
350,2
360,2
370,0
380,2
390,0
400,2
410,0
420,0
440,0
500,4
510,4
520,2
530,4
550,2
560,2
570,2
600,5
610,2
620,2
630,0
640,0
700,0
710,0
720,0
730,0
740,5
750,5
770,5
780,0
790,2
800,2
810,2
820,0
840,0
900,0
910,0
920,0
930,0
940,5
950,0
960,0
970,5
980,0
990,2
1150,0
1200,5
1230,5
1280,5
1300,0
1350,0
1360,5
1370,0
1450,5
1480,5
1510,2
1520,2
1600,5
1610,0
1620,5
1640,0
1650,5
1700,2
1710,5
1730,5
1800,5
1900,1
2100,2
2110,2
2120,2
2130,2
2170,2
2200,2
2210,0
2230,2
2260,5
2320,0
2330,2
2360,0
2400,5
2410,1
2460,1
2600,2
2610,0
2620,0
2650,2
2700,0
2710,5
2750,0
2760,5
2770,0
2780,0
3100,5
3400,1
3600,3
4130,5
4200,5
4220,5
4230,5
4250,5
4260,5
4300,5
4320,5
4340,1
4400,5
4410,5
4440,1
4600,5
5200,1
5400,5
5460,5
5800,5
5830,5
5880,3
5900,5
6100,0
6150,5
6400,5
6450,5
7900,1
8100,5
8150,5
8200,1
8350,1
8700,1
10300,1
10600,5
10620,3
10650,1
10900,1
11100,1
11120,1
11130,1
11710,1
11910,1
12400,3
13100,5
13130,1
13200,5
13210,1
13220,5
13500,1
13600,1
13720,1
14200,1
15100,5
15110,5
15140,5
15150,1
15170,1
15200,1
15210,1
15240,3
15320,1
15500,3
15520,1
15550,3
15560,1
15700,1
15800,5
15830,3
15860,3
15870,3
15880,3
15950,1
16300,3
16900,3
17200,1
17800,3
18100,1
18130,3
18150,3
18200,3
20100,0
20200,0
20210,1
20240,1
20300,0
20320,5
20360,1
20460,3
20500,0
20520,0
20540,5
20610,1
20660,5
20700,0
20720,5
20740,5
20750,3
20760,5
20780,5
20810,0
20880,5
21100,5
21110,1
21200,1
21210,1
21220,3
21420,5
21500,1
21530,1
21600,1
23500,1
23800,3
24100,1
24240,3
24260,3
24800,1
25900,3
26100,1
26200,3
26660,3
27500,3
28100,5
28120,1
28130,1
28190,3
28330,3
28360,3
28370,3
28400,3
28800,3
29200,3
29250,3
30100,1
30300,3
30420,3
32200,3
32210,3
32700,3
33100,0
33180,2
33200,0
33210,0
33230,0
33240,0
33250,0
33270,5
33300,5
33310,5
33330,5
33340,1
33400,0
33410,5
33470,5
33500,0
33520,5
33530,0
33540,0
33560,5
33580,5
33710,5
33720,5
33800,5
33820,5
33840,5
33850,1
33870,0
33880,1
33900,0
33950,5
33960,5
34600,3
34800,3
35300,3
35700,3
35800,3
36200,5
36220,1
36240,5
37100,1
37120,1
37200,3
37500,5
37600,1
37630,3
37800,1
38200,1
38210,3
38700,1
38710,3
39200,3
39500,1
39700,1
40100,5
40200,5
40250,1
40270,5
40320,1
40340,3
40400,5
40420,3
40500,5
40520,5
40600,5
40630,1
40640,3
40700,5
40720,5
40740,1
40800,1
40820,3
40900,3
40950,1
41160,3
41330,3
41340,1
42100,3
42300,3
42700,3
43100,3
44100,3
44150,3
44200,3
44500,3
45100,1
45130,1
45150,3
45160,3
45200,3
45700,3
45720,3
46800,3
46900,3
48100,1
48200,3
48350,3
48600,3
48700,1
49400,1
50100,5
50120,1
50130,5
50160,3
50170,1
50190,3
50970,5
51200,3
51900,3
52700,3
53100,5
53200,1
53300,1
53600,5
53650,3
53810,1
53850,1
53900,5
53920,3
54100,1
55100,3
55120,3
55610,3
55800,3
57100,1
57130,1
57170,1
57200,3
57210,3
57230,3
57710,3
58500,3
60100,5
60120,5
60150,3
60200,5
60220,5
62100,3
65100,5
65200,5
65230,1
65280,1
65320,1
65350,1
65370,3
65380,3
65610,5
66900,1
67100,5
67200,1
67800,3
68600,1
68620,1
68660,3
70100,5
70110,0
70150,1
70200,1
70280,3
70340,1
70420,1
70460,1
70500,1
70600,5
70620,5
70700,1
70820,1
70840,0
70910,5
71800,1
74100,1
74120,3
74130,3
75500,3
76100,3
76150,3
77600,3
78200,3
78250,3
78300,3
79100,3
80100,5
80110,5
80140,5
80160,5
80170,1
80200,5
80220,5
81700,3
82500,3
82900,3
83500,3
84100,3
86300,3
87100,1
87150,3
87200,1
87250,1
87500,3
88600,1
88900,3
89600,3
90100,5
90120,5
90130,5
90140,5
90150,1
90230,5
90240,5
90250,1
90400,0
90420,5
90440,5
90500,5
90510,5
90520,5
90530,5
90540,5
90550,1
90560,1
90570,1
90580,3
90650,1
92100,1
92130,3
93600,1
94100,3
94700,3
95400,5
96100,5
96200,5
96300,5
96400,5
96440,3
96500,3
98100,3
